[Thu Feb 16 11:46:22.759 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:46:22.764 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:46:22.770 2012] 0.001 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:59:47.754 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:59:47.757 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:59:47.762 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:15:52.764 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:15:52.768 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:15:52.771 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:16:54.516 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:16:54.521 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:16:54.525 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:18:16.176 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:18:16.180 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:18:16.183 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:08.386 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:08.389 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:08.393 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:52.901 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:52.905 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:19:52.908 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:20:16.649 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:20:16.652 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:20:16.656 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:21:58.021 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:21:58.025 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:21:58.029 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:23:39.593 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:23:39.602 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:23:39.607 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:25.055 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:25.058 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:25.062 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:33.002 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:33.008 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:33.012 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:46.428 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:46.431 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:24:46.434 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:26:34.674 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:26:34.677 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
